GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Core,org.owasp.dependencycheck.utils,Filter.new Iterable() {...},0,16,0,0,0,2,0,2,0,2
Dependency-Check Core,org.owasp.dependencycheck.utils,FileFilterBuilder,9,132,3,13,1,24,2,13,0,7
Dependency-Check Core,org.owasp.dependencycheck.utils,H2DBShutdownHook,0,3,0,0,0,1,0,1,0,1
Dependency-Check Core,org.owasp.dependencycheck.utils,DateUtil,14,64,0,4,2,15,0,6,0,4
Dependency-Check Core,org.owasp.dependencycheck.utils,H2DBCleanupHook,15,20,2,0,6,8,2,4,1,4
Dependency-Check Core,org.owasp.dependencycheck.utils,DBUtils,23,38,3,7,7,15,3,6,0,4
Dependency-Check Core,org.owasp.dependencycheck.data.update.nvd,DownloadTask,60,125,5,5,18,27,5,8,1,7
Dependency-Check Core,org.owasp.dependencycheck.data.update.nvd,NvdCveParser,43,120,1,7,7,26,1,8,0,5
Dependency-Check Core,org.owasp.dependencycheck.data.update.nvd,NvdCveInfo,0,21,0,0,0,8,0,4,0,4
Dependency-Check Core,org.owasp.dependencycheck.data.update.nvd,ProcessTask,14,84,0,0,6,24,1,6,1,6
Dependency-Check Core,org.owasp.dependencycheck.data.cpe,IndexEntry,49,99,7,7,10,27,10,10,3,10
Dependency-Check Core,org.owasp.dependencycheck.data.cpe,IndexException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core,org.owasp.dependencycheck.data.cpe,CpeMemoryIndex,63,312,11,15,19,79,12,16,1,14
Dependency-Check Core,org.owasp.dependencycheck.xml.suppression,SuppressionParser.ClassloaderResolver,0,36,2,4,0,8,2,2,0,1
Dependency-Check Core,org.owasp.dependencycheck.xml.suppression,SuppressionParser,47,102,2,0,14,19,1,4,0,4
Dependency-Check Core,org.owasp.dependencycheck.xml.suppression,SuppressionParseException,12,4,0,0,6,2,3,1,3,1
Dependency-Check Core,org.owasp.dependencycheck.xml.suppression,SuppressionRule,177,716,28,118,42,182,34,90,8,43
Dependency-Check Core,org.owasp.dependencycheck.xml.suppression,SuppressionErrorHandler,12,12,0,0,2,4,2,3,2,3
Dependency-Check Core,org.owasp.dependencycheck.xml.suppression,SuppressionHandler,26,212,7,25,5,55,7,21,0,7
Dependency-Check Core,org.owasp.dependencycheck.xml.suppression,PropertyType,63,78,3,11,13,25,5,13,2,9
Dependency-Check Core,org.owasp.dependencycheck.data.nexus,NexusSearch,304,0,27,0,75,0,19,0,5,0
Dependency-Check Core,org.owasp.dependencycheck.data.nexus,MavenArtifact,55,148,2,2,18,28,10,9,8,9
