GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Command Line,org.owasp.dependencycheck,App,815,649,93,55,207,132,66,23,10,5
Dependency-Check Command Line,org.owasp.dependencycheck,CliParser.ARGUMENT,3,0,0,0,1,0,1,0,1,0
Dependency-Check Command Line,org.owasp.dependencycheck,CliParser,361,1658,90,88,74,417,76,103,7,83
